id,name,score1,score2
1,Student_1,97,59
2,Student_2,96,67
3,Student_3,67,85
4,Student_4,79,94
5,Student_5,85,95
6,Student_6,71,66
7,Student_7,57,72
8,Student_8,96,55
9,Student_9,77,95
10,Student_10,75,64
11,Student_11,60,87
12,Student_12,82,80
13,Student_13,71,67
14,Student_14,96,51
15,Student_15,53,98
16,Student_16,77,99
17,Student_17,92,75
18,Student_18,76,95
19,Student_19,54,80
20,Student_20,78,54
21,Student_21,50,70
22,Student_22,85,94
23,Student_23,52,54
24,Student_24,56,87
25,Student_25,57,69
26,Student_26,99,74
27,Student_27,97,92
28,Student_28,69,61
29,Student_29,54,95
30,Student_30,71,83
31,Student_31,64,94
32,Student_32,87,59
33,Student_33,63,99
34,Student_34,61,59
35,Student_35,87,59
36,Student_36,71,63
37,Student_37,67,96
38,Student_38,54,83
39,Student_39,53,83
40,Student_40,61,52
41,Student_41,95,98
42,Student_42,90,53
43,Student_43,65,78
44,Student_44,64,82
45,Student_45,94,80
46,Student_46,95,78
47,Student_47,69,79
48,Student_48,65,74
49,Student_49,94,55
50,Student_50,76,51
51,Student_51,50,64
52,Student_52,91,60
53,Student_53,66,64
54,Student_54,72,62
55,Student_55,54,82
56,Student_56,77,55
57,Student_57,74,64
58,Student_58,59,78
59,Student_59,50,99
60,Student_60,85,68
61,Student_61,86,97
62,Student_62,50,57
63,Student_63,61,80
64,Student_64,92,98
65,Student_65,65,52
66,Student_66,70,74
67,Student_67,60,55
68,Student_68,65,85
69,Student_69,78,86
70,Student_70,53,59
71,Student_71,76,57
72,Student_72,65,84
73,Student_73,93,100
74,Student_74,58,58
75,Student_75,62,89
76,Student_76,50,66
77,Student_77,89,63
78,Student_78,55,64
79,Student_79,76,61
80,Student_80,68,70
81,Student_81,84,89
82,Student_82,100,61
83,Student_83,70,81
84,Student_84,90,95
85,Student_85,77,76
86,Student_86,67,91
87,Student_87,97,64
88,Student_88,96,71
89,Student_89,53,88
90,Student_90,88,90
91,Student_91,68,80
92,Student_92,97,60
93,Student_93,56,70
94,Student_94,57,53
95,Student_95,70,63
96,Student_96,99,86
97,Student_97,74,82
98,Student_98,95,75
99,Student_99,55,55
100,Student_100,85,63
101,Student_101,71,97
102,Student_102,91,72
103,Student_103,96,61
104,Student_104,88,88
105,Student_105,73,71
106,Student_106,100,99
107,Student_107,82,69
108,Student_108,52,68
109,Student_109,59,79
110,Student_110,54,94
111,Student_111,89,66
112,Student_112,81,68
113,Student_113,76,72
114,Student_114,53,70
115,Student_115,57,75
116,Student_116,67,69
117,Student_117,55,76
118,Student_118,92,62
119,Student_119,79,51
120,Student_120,86,52
121,Student_121,53,98
122,Student_122,63,77
123,Student_123,75,100
124,Student_124,99,86
125,Student_125,55,60
126,Student_126,60,72
127,Student_127,76,83
128,Student_128,100,93
129,Student_129,96,76
130,Student_130,99,69
131,Student_131,73,76
132,Student_132,87,60
133,Student_133,64,100
134,Student_134,78,81
135,Student_135,93,65
136,Student_136,70,87
137,Student_137,97,62
138,Student_138,63,57
139,Student_139,85,78
140,Student_140,69,52
141,Student_141,66,85
142,Student_142,62,90
143,Student_143,50,90
144,Student_144,67,53
145,Student_145,72,63
146,Student_146,87,59
147,Student_147,73,95
148,Student_148,85,50
149,Student_149,78,67
150,Student_150,97,95
151,Student_151,61,72
152,Student_152,76,90
153,Student_153,73,57
154,Student_154,60,76
155,Student_155,94,58
156,Student_156,98,98
157,Student_157,80,78
158,Student_158,69,80
159,Student_159,96,54
160,Student_160,93,65
161,Student_161,100,98
162,Student_162,74,99
163,Student_163,84,95
164,Student_164,97,51
165,Student_165,61,72
166,Student_166,64,61
167,Student_167,68,83
168,Student_168,88,86
169,Student_169,66,74
170,Student_170,97,62
171,Student_171,51,88
172,Student_172,82,85
173,Student_173,67,77
174,Student_174,89,63
175,Student_175,55,94
176,Student_176,56,91
177,Student_177,57,94
178,Student_178,53,72
179,Student_179,86,68
180,Student_180,56,81
181,Student_181,65,66
182,Student_182,84,76
183,Student_183,70,63
184,Student_184,63,58
185,Student_185,73,77
186,Student_186,98,79
187,Student_187,63,65
188,Student_188,80,77
189,Student_189,82,81
190,Student_190,89,77
191,Student_191,57,78
192,Student_192,61,68
193,Student_193,78,76
194,Student_194,57,86
195,Student_195,97,83
196,Student_196,59,89
197,Student_197,93,58
198,Student_198,81,79
199,Student_199,62,73
200,Student_200,71,96
201,Student_201,96,62
202,Student_202,98,96
203,Student_203,52,78
204,Student_204,80,53
205,Student_205,76,98
206,Student_206,69,67
207,Student_207,79,93
208,Student_208,61,58
209,Student_209,76,61
210,Student_210,89,53
211,Student_211,95,78
212,Student_212,61,91
213,Student_213,74,100
214,Student_214,58,80
215,Student_215,90,90
216,Student_216,50,93
217,Student_217,75,57
218,Student_218,87,59
219,Student_219,94,50
220,Student_220,78,94
221,Student_221,88,60
222,Student_222,86,55
223,Student_223,69,75
224,Student_224,100,57
225,Student_225,83,83
226,Student_226,64,88
227,Student_227,64,84
228,Student_228,74,91
229,Student_229,52,61
230,Student_230,62,76
231,Student_231,96,80
232,Student_232,96,81
233,Student_233,95,61
234,Student_234,50,94
235,Student_235,93,93
236,Student_236,86,68
237,Student_237,50,62
238,Student_238,91,83
239,Student_239,53,77
240,Student_240,99,88
241,Student_241,100,86
242,Student_242,79,60
243,Student_243,84,82
244,Student_244,79,53
245,Student_245,89,75
246,Student_246,57,51
247,Student_247,78,83
248,Student_248,55,54
249,Student_249,89,88
250,Student_250,67,92
251,Student_251,57,54
252,Student_252,76,95
253,Student_253,93,100
254,Student_254,93,73
255,Student_255,86,55
256,Student_256,59,85
257,Student_257,96,55
258,Student_258,83,67
259,Student_259,61,50
260,Student_260,64,97
261,Student_261,92,65
262,Student_262,93,90
263,Student_263,87,71
264,Student_264,69,99
265,Student_265,65,67
266,Student_266,55,58
267,Student_267,67,84
268,Student_268,64,58
269,Student_269,89,75
270,Student_270,86,51
271,Student_271,79,62
272,Student_272,78,73
273,Student_273,62,76
274,Student_274,83,83
275,Student_275,55,91
276,Student_276,98,62
277,Student_277,87,69
278,Student_278,69,72
279,Student_279,58,63
280,Student_280,95,81
281,Student_281,79,50
282,Student_282,76,83
283,Student_283,90,96
284,Student_284,58,65
285,Student_285,82,57
286,Student_286,98,83
287,Student_287,52,78
288,Student_288,72,64
289,Student_289,87,64
290,Student_290,58,51
291,Student_291,98,82
292,Student_292,98,56
293,Student_293,79,84
294,Student_294,56,53
295,Student_295,58,86
296,Student_296,89,99
297,Student_297,65,60
298,Student_298,83,79
299,Student_299,83,63
300,Student_300,71,73
301,Student_301,91,73
302,Student_302,50,54
303,Student_303,59,98
304,Student_304,70,92
305,Student_305,53,89
306,Student_306,73,68
307,Student_307,96,86
308,Student_308,83,64
309,Student_309,60,85
310,Student_310,83,68
311,Student_311,70,63
312,Student_312,77,88
313,Student_313,68,83
314,Student_314,92,57
315,Student_315,73,69
316,Student_316,61,95
317,Student_317,63,89
318,Student_318,97,84
319,Student_319,99,83
320,Student_320,54,50
321,Student_321,86,75
322,Student_322,76,64
323,Student_323,65,92
324,Student_324,51,100
325,Student_325,76,80
326,Student_326,92,90
